pc4,pc4name,mun,munname,pricem2,distcbd,shhistdistr,popdens,shforeign,shlandinfr,shlandres,shlandmanuf,shlandother,shopenspace,shyoungp,shelderly,hhsize,dumRS,RSdistcbd,_est_Netherlands,_est_Model2,_est_Model3,_est_Model4,lnpricem2,lndistcbd,lnRSdistcbd
2282,TE WERVE-OOST,603,Rijswijk (ZH.),536.4038352362109,3.19531035269,0,81.16690616187202,.2189105858170606,.0638409209837781,.7121925693354265,.0837257980115123,.0413396127681842,.0989010989010989,.1675231243576567,.1808838643371017,1.83,0,0,1,1,1,1,6.2848873,1.1616843,0
6634,BATENBURG,296,Wijchen,60.04001093269327,10.21355905157,.041454598769008,.9791856747091423,.041958041958042,.0331656418855972,.019470840320477,.0014905906465437,.0028880193776784,.9429849077697038,.2727272727272727,.1188811188811189,2.62,0,0,1,1,1,1,4.0950112,2.3237162,0
6161,GELEEN-CENTRUM,1883,Sittard-Geleen,105.7753628482471,5.17906345298,0,28.27589124207367,.2551390568319226,.0514893617021277,.4153191489361702,.3965957446808511,.114468085106383,.0221276595744681,.1837968561064087,.2273276904474003,1.95,0,0,1,1,1,1,4.6613178,1.6446242,0
9693,NIEUWESCHANS,1661,Reiderland,20.40345503449758,41.71047960945,.0065706208790332,1.906767221680433,.2225806451612903,.0423721529866781,.0536312849162011,.0346368715083799,.0079071766222604,.8614525139664805,.1903225806451613,.167741935483871,2.07,0,0,1,1,1,1,3.0157042,3.7307525,0
7876,VALTHERMOND,1681,Borger-Odoorn,16.07951328783924,11.24840594262,0,1.111058672613269,.0502152080344333,.0155129106801969,.0481663819953783,.0021099166080579,.0028333165879634,.9313774741284035,.2410329985652798,.1305595408895265,2.47,0,0,1,1,1,1,2.7775459,2.4202263,0
1115,DUIVENDRECHT,437,Ouder-Amstel,496.8060989694377,4.6927442206,0,7.012670090961619,.2808870116156283,.1465788720297738,.0854089130642237,.1318828132455387,.0533447848077107,.5827846168527532,.1879619852164731,.1816261879619852,2,0,0,1,1,1,1,6.2082,1.5460175,0
5812,HEIDE,984,Venray,54.63864642538484,20.57425647867,0,.8438341753180314,.0105263157894737,.0370740370740371,.0077700077700078,0,.0002220002220002,.9549339549339549,.2736842105263158,.0842105263157895,2.89,0,0,1,1,1,1,4.0007415,3.0240407,0
2809,OOSTPOLDER IN SCHIELAND,513,Gouda,105.0116141752035,2.37231861477,0,.3857705174545644,.12,.0690659454961514,0,.0655294362388184,.022883295194508,.8425213230705222,.2,.08,2.34,0,0,1,1,1,1,4.6540709,.86386782,0
7273,HAARLO,1859,Borculo,38.15385392403805,23.15112128278,0,.6873376746337095,.041958041958042,.026080476900149,.0114257327372081,.0027943368107303,.0076378539493294,.9520615996025832,.2307692307692308,.1328671328671329,2.58,0,0,1,1,1,1,3.6416268,3.1420431,0
8294,MASTENBROEK,1896,Zwartewaterland,8.985277043358314,8.14582340712,0,.2089042898784091,.0294117647058824,.0174686358583452,0,0,.000397014451326,.9821343496903288,.3823529411764706,.0588235294117647,3.73,0,0,1,1,1,1,2.1955874,2.0975053,0
3652,WOERDENSE VERLAAT,569,Nieuwkoop,63.77975762394491,8.53425734086,0,2.113096188166118,.0692307692307692,.0402767482085495,.0301457870027181,.0148257968865827,.0244625648628614,.8902891030392883,.2846153846153846,.0846153846153846,2.72,0,0,1,1,1,1,4.155436,2.1440883,0
9581,HORSTEN,37,Stadskanaal,29.31191172266522,20.07283961974,0,5.310590049433597,.0985915492957746,.0498397852255997,.1509049969689097,.0108686238849918,.0036806096821685,.7847059842383303,.2279129321382843,.1907810499359795,2.29,0,0,1,1,1,1,3.3779941,2.9993677,0
5711,SOMEREN,847,Someren,105.5994824721484,10.06873406392,0,6.228550862315937,.0669456066945607,.0381118096093399,.1078805568028738,.0969914683430624,.0067355186349349,.750280646609789,.2405857740585774,.1847977684797769,2.43,0,0,1,1,1,1,4.6596537,2.3094349,0
7788,ANERVEEN,160,Hardenberg,8.884474938283619,6.49469223443,0,.3523051317382592,0,.0446632420091324,0,.0004280821917808,0,.9549086757990868,.2903225806451613,.1290322580645161,2.65,0,0,1,1,1,1,2.1843054,1.8709853,0
5451,MILL,815,Mill en Sint Hubert,34.66219623497003,18.27317752883,0,2.531767424712591,.0563847429519071,.0254416205670916,.0583660707127395,.0203105374275101,.0150191079398167,.8808626633528421,.2271973466003317,.1716417910447761,2.45,0,0,1,1,1,1,3.5456495,2.9054344,0
3291,STRIJEN,617,Strijen,50.85450309116335,11.091911457,0,1.895232111216345,.0735294117647059,.0296223045474001,.0268475196670258,.0124717724676398,.0031880507136215,.9278703526043127,.2444852941176471,.1378676470588235,2.45,0,0,1,1,1,1,3.9289687,2.4062161,0
4766,DE LANGE WEG,1719,Drimmelen,29.73686263302655,9.827568078619999,0,.0856812899719194,0,.0351722906623817,0,0,0,.9648277093376183,.3333333333333333,0,3.2,0,0,1,1,1,1,3.3923874,2.2851915,0
3849,HIERDEN,243,Harderwijk,36.12544043226118,21.54225734365,0,2.851699602176676,.0483592400690846,.0281284039213174,.0613186390722112,.0078170051899789,.0082655218812072,.8944704299352855,.2504317789291883,.150259067357513,2.65,0,0,1,1,1,1,3.5869973,3.0700164,0
1619,MIDDEN,364,Andijk,54.37483325021245,14.80891759718,0,3.107965803325126,.0826383623957544,.0312538565963223,.0579415031469826,.0352647167715661,.0065099345921264,.8690299888930025,.2532221379833207,.1266110689916604,2.47,0,0,1,1,1,1,3.9959013,2.6952295,0
1636,SCHERMERHORN,458,Schermer,111.596083601951,8.074527313100001,.0086765628828248,4.319532378273786,.0581395348837209,.0439213783062364,.0727978645959718,0,.0007279786459597,.8825527784518321,.2635658914728682,.1550387596899225,2.53,0,0,1,1,1,1,4.7148862,2.0887144,0
6744,EDERVEEN-DORP,228,Ede,32.77065202313723,4.19834220735,0,3.898815560301562,.0265625,.0295194508009153,.0383676582761251,.0093058733790999,.0028222730739893,.9199847444698703,.3546875,.1140625,3.29,0,0,1,1,1,1,3.4895334,1.4346898,0
8264,HAGENBROEK,166,Kampen,220.2854822912098,1.46307871627,0,23.92837197712355,.055045871559633,.0453237410071942,.4223021582733813,.0345323741007194,.041726618705036,.456115107913669,.2798165137614679,.1422018348623853,2.61,0,0,1,1,1,1,5.3949242,.38054293,0
2317,MERENWIJK-CENTRUM,546,Leiden,424.3992588950975,2.32237277154,0,83.65796140742992,.3152028533214445,.0427599611273081,.7580174927113703,.0364431486880466,0,.162779397473275,.2670530539456086,.1230494872938029,2.31,0,0,1,1,1,1,6.0506744,.84258944,0
7845,HOLSLOOT,109,Coevorden,4.454523232645485,8.99774672515,0,.2035617276055663,.0625,.0711920529801325,0,0,.0049134800256355,.9238944669942321,.2083333333333333,.1458333333333333,2.62,0,0,1,1,1,1,1.4939201,2.1969743,0
7665,ALBERGEN (KERN),183,Tubbergen,76.09548615241754,5.94038904618,0,1.617214579285917,.0282485875706215,.0216248815370035,.0186668964130841,.0109416731282847,.0044226185347922,.9443439303868355,.3036723163841808,.1271186440677966,3,0,0,1,1,1,1,4.3319888,1.7817746,0
4841,BUITENGEBIED,758,Breda,179.7184183599882,6.336993076370001,0,6.617906004343178,.0787641427328111,.0691362552723272,.1098111131487255,.0061250687694847,.0066385475884834,.8082890152209793,.2541340295909487,.1662315056570931,2.52,0,0,1,1,1,1,5.1913915,1.8464044,0
7534,GLANERBRUG - BUURTSCHAP ZUID-ESMARKE,153,Enschede,131.8735025702369,4.14853602732,0,15.08962323612914,.2038398692810457,.0293957961684635,.1951446521368184,.013030326533778,.0411075777553711,.7213216474055689,.2867647058823529,.0870098039215686,2.52,0,0,1,1,1,1,4.8818431,1.4227555,0
1506,HOGENDIJK + EILAND,479,Zaanstad,314.7203652257583,.33445971357,0,36.01493666699066,.2218400687876182,.1068429890848027,.3623005877413938,.3914777497900924,.0041981528127624,.1351805205709488,.2218400687876182,.1487532244196045,2.11,0,0,1,1,1,1,5.7516847,-1.0952388,0
8857,WIJNALDUM,72,Harlingen,62.42930085839131,22.54916724671,0,.9730345112282051,.0849056603773585,.0373644507307874,.0188590287600189,.018976897689769,.0247524752475248,.9000471475719001,.2547169811320755,.0849056603773585,2.37,0,0,1,1,1,1,4.1340346,3.1156981,0
1769,HARINGHUIZEN,412,Niedorp,6.008535502772034,11.28154880901,0,.5181417430624889,.027027027027027,.0304408677396781,.0138208537438768,0,.0012246326102169,.9545136459062281,.2702702702702703,.1081081081081081,2.67,0,0,1,1,1,1,1.7931811,2.4231687,0
1676,TWISK,420,Noorder-Koggenland,50.47781742030319,11.02783214644,.0386417582956671,.9435475272735341,.0985221674876847,.035690955519924,.0160935922560722,.0036225429063484,.0019597363263852,.9426331729912703,.2315270935960591,.1330049261083744,2.41,0,0,1,1,1,1,3.9215341,2.4004223,0
8715,STAVOREN,104,Nijefurd,150.1444405148122,34.90975545618,0,2.000896711143609,.0567010309278351,.0500876168224299,.053446261682243,.020589953271028,.0420560747663551,.8338200934579439,.2371134020618557,.1391752577319588,2.24,0,0,1,1,1,1,5.0115976,3.5527663,0
5534,NETERSEL,1728,Bladel,36.78764252740314,17.83799592135,0,.9032590023683058,.0470588235294118,.0168078899847201,.0184747881650229,0,.0007639949993055,.9639533268509515,.2823529411764706,.1352941176470588,2.72,0,0,1,1,1,1,3.6051619,2.8813307,0
4681,NIEUW-VOSSEMEER (MET HOGENDIJK),851,Steenbergen,102.3318561008012,11.16861541642,0,1.440114576296769,.0720338983050847,.034311405584477,.0276068780564758,.0009070831361413,.0115554503864963,.9256191828364095,.2351694915254237,.1652542372881356,2.49,0,0,1,1,1,1,4.628221,2.4131076,0
5345,"OSS BUITENGEBIED - WEST (OOSTENAKKER, DE BRAND, GEWANDE)",828,Oss,197.5239721403285,2.26122724422,0,17.99633711827827,.1457716354063837,.0234532052713871,.2539647085101631,.0049884595339141,.0008190008190008,.716774625865535,.2737742678512669,.0904902928594933,2.58,0,0,1,1,1,1,5.2858601,.81590772,0
8841,BAIJUM,140,Littenseradiel,25.01248300713923,11.64986314812,0,.9149779202835149,.04,.0239963082602677,0,0,0,.9760036917397323,.36,.08,2.77,0,0,1,1,1,1,3.2193751,2.4552944,0
1711,HENSBROEK,1598,Obdam,66.40738689707825,4.79510753268,0,1.417736329867103,.0512048192771084,.0275911052832869,.0203245369611539,.0000546358520461,.0012566245970606,.9507730973064525,.2319277108433735,.0993975903614458,2.5,0,0,1,1,1,1,4.1958084,1.5675961,0
3257,OOLTGENSPLAAT,580,Oostflakkee,45.14624349741415,18.45153089638,0,1.568349835255787,.0526315789473684,.0475344841827042,.031097712067399,.0014454447840093,.0061121665152391,.9138101924506484,.2348178137651822,.1497975708502024,2.42,0,0,1,1,1,1,3.809907,2.9151473,0
2492,KRUIDENVELDBUURT,518,'s-Gravenhage (gemeente),371.71240688947,5.40614264055,0,59.49201586868951,.3219761499148211,.0425460636515913,.6398659966499163,.0217755443886097,.1527638190954774,.1430485762144054,.3522146507666099,.0404599659284497,2.96,1,5.4061427,1,1,1,1,5.9181204,1.6875359,9.1230602
3054,HILLEGERSBERG-NOORD,599,Rotterdam,459.2059856481843,4.00518562366,0,23.59503233463921,.2556610664718773,.0322241681260946,.4133099824868651,.0833625218914186,.1162872154115587,.3548161120840631,.2154857560262966,.2476260043827611,2.01,1,4.0051856,1,1,1,1,6.129499,1.3875899,5.5575552
9781,BEDUM,5,Bedum,116.4406957448136,9.05010606181,0,3.31001257136774,.0555555555555556,.0261700934123558,.0616570327552987,.0176093266017902,.0090485597912246,.8855149874393308,.2678362573099415,.1415204678362573,2.47,0,0,1,1,1,1,4.7573819,2.2027764,0
2574,RUSTENBURG,518,'s-Gravenhage (gemeente),327.2810147758788,2.69472752055,.0549757779165842,138.7327685057035,.4198767334360555,.1536189069423929,.7887740029542097,0,0,.0576070901033973,.2211093990755008,.0839753466872111,1.99,1,2.6947274,1,1,1,1,5.7908192,.99129707,2.6712754
2116,BENTVELD,473,Zandvoort,287.357984131816,7.853613362650001,0,.4865785079129121,.1978609625668449,.0018387553041018,.0156294200848656,.0018387553041018,0,.9806930693069307,.1818181818181818,.3315508021390374,2.05,0,0,1,1,1,1,5.6607289,2.0609736,0
4504,NIEUWVLIET,1714,Sluis,51.46623679384682,11.37248351812,0,.6241523830271875,.1612903225806452,.0524778680295701,.0190745642055307,0,.0025554440083965,.9258921237565026,.2150537634408602,.1827956989247312,2.2,0,0,1,1,1,1,3.9409261,2.4311967,0
3069,OMMOORD,599,Rotterdam,276.3282312266659,7.196457698760001,0,60.04017922330419,.2363589345746056,.0341502611490558,.6010445962233829,.0261149055845721,.0092406588991563,.3294495781438329,.204292733385053,.2236876131367986,2.03,1,7.1964579,1,1,1,1,5.6215892,1.9735889,14.202849
1019,OOSTELIJK HAVENGEBIED,363,Amsterdam,268.0010751247314,2.97506679757,0,96.12175732067327,.3584135316418781,.1834042553191489,.4425531914893617,.3263829787234043,.0217021276595745,.0259574468085106,.2426363371245261,.0352872557596967,2,1,2.9750669,1,1,1,1,5.590991,1.0902665,3.2436156
8451,OUDESCHOOT,74,Heerenveen,50.63804529817102,21.13549762556,.4684833436265874,6.704814034348563,.1188118811881188,.0560955290197167,.1160788669813941,.0222160510969175,.0372118855873369,.7683976673146348,.2541254125412541,.1386138613861386,2.42,0,0,1,1,1,1,3.9247031,3.0509539,0
4696,STAVENISSE,716,Tholen,22.72864061087496,21.12782037788,0,1.424173881986923,.0276923076923077,.0363277949873275,.0205012672486623,.0012954097437342,.0153759504364968,.9264995775837792,.3015384615384615,.1446153846153846,2.69,0,0,1,1,1,1,3.1236258,3.0505908,0
8567,OUDEMIRDUM,653,Gaasterlân-Sleat,38.10401731562054,38.45509055574,0,.9538424555690892,.0479704797047971,.0238961505637156,.0219646947850694,0,.0068723891658806,.9472667654853344,.2398523985239852,.2361623616236162,2.45,0,0,1,1,1,1,3.6403198,3.6494911,0
9256,RIJPERKERK,737,Tytsjerksteradiel,50.8531166582592,8.873716270540001,0,.8402842189508257,.0306748466257669,.0338021218850234,.0169421827452916,.0023028209556707,.0005757052389177,.9463771691750966,.2822085889570552,.1226993865030675,2.59,0,0,1,1,1,1,3.9289415,2.1830938,0
9054,HIJUM,81,Leeuwarderadeel,87.09539469039649,9.448665281929999,0,.9503661287773892,.0476190476190476,.0302252637581979,.021528371827773,0,.0007128599942971,.9475335044197319,.2380952380952381,.1547619047619048,2.29,0,0,1,1,1,1,4.4670038,2.2458735,0
8526,BOORNZWAAG,51,Skarsterlân,105.2390778240096,25.6505786884,0,.0957444395424823,.12,.0600171289281244,0,.0019105342907965,0,.9380723367810792,.2,.12,2.25,0,0,1,1,1,1,4.6562347,3.2445662,0
3247,DIRKSLAND-OUD,504,Dirksland,94.45260632587468,20.06613038929,0,2.69000554475258,.0406746031746032,.0396680833839304,.0404776361060514,.0143358294542265,.0110638872023207,.894454563853471,.2876984126984127,.1527777777777778,2.57,0,0,1,1,1,1,4.5480981,2.9990335,0
7496,HENGEVELDE,1735,Hof van Twente,69.06456567503815,12.64218611,0,2.14871794416932,.0402843601895735,.0296531975819281,.0293986636971047,.015272033089405,.0041361756283805,.9215399300031817,.2772511848341232,.1255924170616114,2.74,0,0,1,1,1,1,4.2350416,2.5370393,0
6903,ZEVENAAR ZONEGGE EN STEGESLAG,299,Zevenaar,113.7557592940432,11.47115918162,0,10.68636753218297,.1536885245901639,.0385952076092921,.1606914212548015,.0262483994878361,.025333821108469,.7491311505396012,.2465846994535519,.1523224043715847,2.42,0,0,1,1,1,1,4.7340536,2.439836,0
2497,OMGEVING RIJSWIJKSE LANDINGSLAAN,518,'s-Gravenhage (gemeente),357.6474444587537,2.95558354983,0,29.36689353744823,.3386041439476554,.2012063765618268,.2979319258940112,.1775096940973718,.1602757432141318,.1630762602326583,.3336968375136314,.0327153762268266,2.72,1,2.9555836,1,1,1,1,5.8795476,1.0836961,3.2029545
8912,ZWETTE-SCHENKENSCHANS,80,Leeuwarden,50.72622512140536,2.58319821152,0,.1421426764569531,.2222222222222222,.1205253124338064,0,.5102732471933912,.0158864647320483,.3533149756407541,.2222222222222222,0,1.91,0,0,1,1,1,1,3.9264431,.94902825,0
4383,BLOEMENLAAN,718,Vlissingen,157.3327695683839,.8766203568199999,0,19.88311460642437,.3702290076335878,.0718204488778055,.3092269326683292,.1541147132169576,.0249376558603491,.4399002493765586,.2080152671755725,.1316793893129771,1.93,0,0,1,1,1,1,5.058363,-.13168126,0
4465,GOES-NOORD,664,Goes,181.9893828718988,20.30072980954,0,10.29787733140081,.1238095238095238,.0329218106995885,.6286008230452675,.007201646090535,0,.331275720164609,.2428571428571429,.1523809523809524,2.62,0,0,1,1,1,1,5.2039485,3.0106568,0
2692,BEBOUWDE KOM 'S-GRAVENZANDE,1783,Westland,429.0580919132578,13.57024518017,0,91.07940904348206,.0783744557329463,.0580431177446103,.9104477611940298,.0315091210613599,0,0,.2946298984034833,.0914368650217707,2.71,0,0,1,1,1,1,6.0615921,2.6078796,0
4706,BAKKERSBERG - LANGENDIJK,1674,Roosendaal,181.4954925843756,3.10822148503,0,15.28158559838263,.170147954743255,.0533855251103523,.2560173232281169,.1328391771466644,.1086865994836345,.4490713750312318,.2436901653611836,.0926892950391645,2.52,0,0,1,1,1,1,5.201231,1.1340507,0
7786,GRAMSBERGEN-DEN VELDE,160,Hardenberg,9.887763116346949,5.95134072374,0,.3394147160543791,.0666666666666667,.0185905340036043,.0031300388883619,.0119510575737456,.0029403395617946,.9633880299724936,.3333333333333333,.0666666666666667,3.17,0,0,1,1,1,1,2.2912979,1.7836165,0
8081,LANDELIJK GEBIED,230,Elburg,136.379345620602,13.11026808155,.1007544061376762,10.60077312320666,.0587241233629066,.0443376068376068,.164292497625831,.0721747388414055,.0030270655270655,.7161680911680912,.2708069286016054,.115758343895226,2.59,0,0,1,1,1,1,4.9154401,2.5733957,0
2021,TRANSVAALBUURT,392,Haarlem,555.3927263264308,1.38240116464,.36627226425111,118.2832356971251,.2382953181272509,.0444654683065279,.859035004730369,.0586565752128666,.0037842951750237,.0340586565752129,.1962785114045618,.0936374549819928,1.86,0,0,1,1,1,1,6.3196754,.32382196,0
9921,STEDUM,24,Loppersum,35.02071525101499,13.75304136909,.0037047253362921,.8750729242920505,.0593607305936073,.0258702968804943,.0183352589541367,0,.001959109860853,.9538353343045159,.2694063926940639,.1278538812785388,2.5,0,0,1,1,1,1,3.5559397,2.6212599,0
7949,ROGAT,119,Meppel,89.17608324399069,15.83732378939,0,.6776044184415793,.0714285714285714,.1878489326765189,0,.1461412151067323,.0085385878489327,.6574712643678161,.25,.0357142857142857,2.53,0,0,1,1,1,1,4.490613,2.7623694,0
7211,EEFDE,262,Gorssel,29.75482449335747,10.07635671461,0,3.546762787322476,.0900473933649289,.0398285311194313,.0841608334689891,.0281078734603071,.0024960659829616,.8454066959683109,.2286729857819905,.221563981042654,2.3,0,0,1,1,1,1,3.3929913,2.3101919,0
4207,LAAG-DALEM,512,Gorinchem,267.154915644736,22.53592259416,.2807277198700641,25.88405833659005,.1287494231656668,.0849186114924495,.3563443812512258,.1472837811335556,.0843302608354579,.3271229652873112,.3322565759113982,.0669127826488233,2.86,0,0,1,1,1,1,5.5878286,3.1151106,0
9978,HORNHUIZEN,1663,De Marne,40.86968297971968,23.85257685304,0,.1609722943569815,.1,.0199898528665652,.0041603247082699,0,.006443429731101,.9694063926940639,.25,.125,2.44,0,0,1,1,1,1,3.7103884,3.1718922,0
5505,ZONDERWIJK,861,Veldhoven,170.8155018766844,7.652072054680001,0,12.89254493012799,.1771269177126918,.0206695124691081,.2039991013255448,.015502134351831,.0541451359245113,.7056841159290047,.2273361227336123,.196652719665272,2.26,0,0,1,1,1,1,5.140584,2.0349765,0
8388,OOSTERSTREEK,98,Weststellingwerf,22.81212444169723,23.53886368647,0,.8913674953109756,.0275229357798165,.007765403085726,.0114437519158067,0,0,.9807908449984674,.2293577981651376,.1284403669724771,2.52,0,0,1,1,1,1,3.1272922,3.1586528,0
2111,AERDENHOUT-CENTRUM,377,Bloemendaal,303.2315401094812,3.89291640804,0,8.925436567090232,.219484882418813,.0288858321870702,.4401650618982118,.0172564711766913,.0010003751406778,.512692259597349,.2665173572228444,.2116461366181411,2.44,0,0,1,1,1,1,5.7144966,1.3591586,0
3249,HERKINGEN,504,Dirksland,74.79651944263817,21.8628995625,0,1.336290573826146,.0326530612244898,.0372604684173172,.0217885024840312,.0044712562100781,.0166784953867991,.9198012775017743,.2448979591836735,.1224489795918367,2.49,0,0,1,1,1,1,4.3147712,3.0847912,0
1135,EDAM - OUDE KOM,385,Edam-Volendam,335.4552968766556,6.70544654591,.175989611377752,14.16775917158099,.1375515818431912,.0567623480734419,.2251099043185932,.0898629428497543,.0125420222394621,.6157227825187483,.2379642365887208,.1581843191196699,2.36,0,0,1,1,1,1,5.8154888,1.9029201,0
5084,BIEST-HOUTAKKER,798,Hilvarenbeek,119.3499153099714,7.23934563134,0,1.494558400415143,.0355029585798817,.0186516853932584,.0225842696629213,.0113483146067416,.0013483146067416,.946067415730337,.3254437869822485,.0946745562130177,2.88,0,0,1,1,1,1,4.7820597,1.9795308,0
7843,ERM,109,Coevorden,11.26342725613698,6.466608852399999,0,1.064040304745149,.0588235294117647,.0475571091781156,.0112186001138119,0,0,.9412242907080726,.2058823529411765,.1294117647058824,2.18,0,0,1,1,1,1,2.421561,1.8666519,0
